sample_id,text,esg_label,sentiment_label,source_name,source_url,company,risk_label,split_source,split
HARD_G_011,The proxy statement explained how executive compensation clawback rules were aligned with misconduct findings.,Governance,Neutral,synthetic_hard_examples,,Company Arbor,Medium,esg_hard_examples_v3.csv,train
2,Microsoft reported progress toward its environmental goals but also acknowledged pressure from Scope 3 and supplier-related emissions linked to business growth and infrastructure demand.,Environmental,Neutral,Microsoft Sustainability Report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/,Microsoft,Medium,esg_real_world_50_samples.csv,train
HARD_S_015,The human rights statement acknowledged higher monitoring needs in agricultural sourcing chains but reported no confirmed severe breaches.,Social,Neutral,synthetic_hard_examples,,Company Keystone,Medium,esg_hard_examples_v3.csv,train
HARD_N_019,The company expanded in-store distribution to defend market share before a major seasonal launch.,Non-ESG,Positive,synthetic_hard_examples,,Company Fable,Low,esg_hard_examples_v3.csv,train
8,"Amazon's 2024 sustainability report discusses decarbonization, waste prevention, responsible diversion of waste, and broader sustainability initiatives across business units.",Environmental,Positive,Amazon Sustainability Report PDF,https://sustainability.aboutamazon.com/2024-amazon-sustainability-report.pdf,Amazon,Low,esg_real_world_50_samples.csv,train
HARD_E_009,The climate disclosure confirmed that renewable electricity covered most office operations but not the firm's outsourced data centers.,Environmental,Neutral,synthetic_hard_examples,,Company Iota,Medium,esg_hard_examples_v3.csv,train
7,Amazon reported that all electricity consumed by its operations was matched with renewable energy sources in 2024 for the second consecutive year.,Environmental,Positive,Amazon Sustainability Report 2024,https://sustainability.aboutamazon.com/2024-report,Amazon,Low,esg_real_world_50_samples.csv,train
23,Starbucks works with coffee farms and suppliers to deliver products while also supporting economic development in the communities tied to its sourcing network.,Social,Positive,Starbucks Fiscal 2024 Global Impact Report,https://about.starbucks.com/uploads/2025/05/Starbucks-Fiscal-2024-Global-Impact-Report.pdf,Starbucks,Low,esg_real_world_50_samples.csv,train
11,"A German court ruled that Apple could not advertise its Apple Watch as carbon neutral in Germany, citing concerns about carbon offset claims and long-term project certainty.",Environmental,Negative,Reuters Apple Watch carbon-neutral ruling,https://www.reuters.com/sustainability/climate-energy/apple-watch-not-co2-neutral-product-german-court-finds-2025-08-26/,Apple,High,esg_real_world_50_samples.csv,train
HARD_N_005,The company revised dividend policy after forecasting tighter free cash flow in the second half.,Non-ESG,Neutral,synthetic_hard_examples,,Company Opal,Low,esg_hard_examples_v3.csv,train
HARD_G_020,The audit committee disclosed recurring control failures in vendor onboarding and approval workflows.,Governance,Negative,synthetic_hard_examples,,Company Jasper,High,esg_hard_examples_v3.csv,train
manual_esg_test_002,The company faced regulatory criticism for failing to disclose climate-related risks.,Environmental,Negative,manual,,Company B,High,manual_esg_test.csv,train
40,"Feng Tay reported that despite a turbulent global economy and sportswear industry competition, revenue increased slightly and profit metrics outperformed the previous year.",Non-ESG,Positive,Feng Tay 2024 Sustainability Report,https://www.fengtay.com/uploads/images/csr/English/2024ESGreport_en.pdf,Feng Tay,Low,esg_real_world_50_samples.csv,train
HARD_N_006,Management said operating margin narrowed because inventory adjustment charges were higher than planned.,Non-ESG,Negative,synthetic_hard_examples,,Company Paragon,Low,esg_hard_examples_v3.csv,train
manual_esg_test_016,The company reported quarterly revenue growth above analyst expectations.,Non-ESG,Positive,manual,,Company P,Low,manual_esg_test.csv,train
38,The WisdomTree case shows that ESG fund governance requires internal controls capable of ensuring marketed investment screens are actually implemented.,Governance,Negative,SEC WisdomTree ESG enforcement,https://www.sec.gov/newsroom/press-releases/2024-173,WisdomTree,High,esg_real_world_50_samples.csv,train
manual_esg_test_001,The company reported a significant reduction in carbon emissions through renewable energy adoption.,Environmental,Positive,manual,,Company A,Low,manual_esg_test.csv,train
